L0811510,计算机视觉综合实验
A0814720,计算机算法与程序设计
I0516820,计算机网络
K0802410,计算机系统结构综合实验
K0802310,计算机组成原理综合实验
H0812420,计算理论前沿
U0900210,计算思维导论
A1514220,技术与创业管理
I1004420,技术与人文讲座
I1010410,结构化思维
U1412510,解码基因
K1541930,金融交易策略设计与模拟
I1100325,金融数学
K1213120,近代物理实验I
I9901120,经典音乐会鉴赏
U1516010,经管看世界
A1511520,经济学概论
H0109910,精彩纷呈的通信世界
H1212320,聚变等离子体物理
I0219510,科技报告与科技论文写作
I9906020,科学发声训练
A1800720,科学技术史
H0510410,科学前沿与新技术
W0500220,可穿戴电子技术（挑战性课程）
I0418910,可靠性工程学科前沿
I1000310,空间电磁信息监测实验
K1007810,空间激光通信实验
I1004920,空天信息技术概论
A1406020,跨界论道：科学走进人文
I9905720,拉丁舞实践
S0311715,锂离子电池电极材料的制备及其电化学性质表征
I0602550,两轮体感式平衡车控制器设计与制作
I1900110,留学规划与指导
I9905820,流行舞实践
I9905020,流行音乐赏析与实践
IntM0400120,论文写作
A1800620,逻辑与批判性思维
I0201020,脉冲功率技术与开关电源
A1111620,漫话数学建模
UoG13010,毛泽东思想和中国特色社会主义理论体系概论
A9905320,美术鉴赏
U0606010,魅力自动化：入门与创新
H1212020,面向21世纪的真空电子学
X0100410,面向人工智能的深度学习前沿与创新实践
I0602020,魔术物理学
I1212920,纳米材料与纳米技术
H0514810,纳米光子学研究前沿
I0418610,纳米科技前沿
I1411720,脑功能成像
I9901220,欧洲经典音乐赏析
H0209310,频率源技术前沿讲座
I0419020,普通话语音基础及表达创作
I1501520,企业管理沙盘模拟跨专业选修实验
S0900110,企业实训
I0413220,汽车工程概论
U0114110,浅谈信息化条件下的军事通信
I9701010,情绪管理能力
X0100120,区块链技术和应用
I0400320,区块链技术及其应用
I1515020,全球化供应链管理前沿
I1611715,全球化与世界政治
I1600520,人工智能、区块链与公共政策
U2700110,人工智能导论（新生研讨课）
I0418710,人因工程学科前沿
X0900120,认知计算前沿及应用
W0900120,软件定义网络SDN流控调度设计与应用综合实验
L0811420,软件开发综合实验
I0406310,三维建模及3D打印技术实验
L0811610,三维图形综合实验
I1501920,商业环境与企业竞争
I1502020,社会创新与社会企业
I1613920,社会科学研究中量化方法： 技术与应用
U1412410,社会脑与情绪脑：健康人群与临床科学研究
A1611620,社会学概论
I9901320,摄影基础
I0602115,深度学习导论
I0406120,神奇的纳米世界
L0106310,生产实习
L0304210,生产实习
L0402510,生产实习
L0508310,生产实习
L0688510,生产实习
K0408010,生产与运作管理综合实验
I1401115,生命的初探-细胞生物学实验入门1
A1410320,生命科学导论
S1413210,生物仪器分析实验
I9901520,声乐作品赏析
I1614810,诗词鉴赏与创作
I9904320,实验艺术与科学
H0814010,视觉大数据分析与计算
I1501810,数据、模型与决策
I1004720,数据采集与处理技术
U1116810,数据科学中的数学
I0809220,数据库应用基础
H0404020,数控编程
I1100230,数理金融
I1110830,数学基础专题选讲II
U1116910,数学与创造力
F1400530,数值计算与MatLab
K0802210,数字逻辑综合实验
L0811710,数字媒体技术综合课程设计
I0601930,数字设计FPGA应用
I0179915,数字视觉视频技术及应用
I9905920,水彩画
H1010910,思维导图与结构化思维
I9904420,四川少数民族歌舞赏析
H0109420,四旋翼无人机控制理论与设计
K1696320,诉讼实务实验
I0226020,素描
I9901620,素描
I1110220,算法分析与设计综合实验
I1000420,探空火箭设计与制作
K0105220,通信大类专业认知与探索
K0125605,通信网理论基础课程设计
U0114310,通信网络浅说
I0646810,通用测试技术实验
H0106610,同时同频全双工技术前沿
I1114120,统计学习
A1410610,突破创新的禁区
S1013610,团队与系统项目
K0912010,网络安全工程综合设计
H0110420,网络技术导论
I0819510,网络空间的安全问题
I0106520,网络社会学
I0200920,网络营销
H0209410,微波电路与系统发展趋势
S0100110,微波技术与天线实验
K0209910,微电子基础物理实验
H0200510,微电子技术学科前沿（二）
H0200410,微电子技术学科前沿（一）
I0201110,微电子器件测试
