E1607330,面向对象程序设计
E1607430,计算机组成原理
E1607530,管理信息系统
E1607630,运筹学
E1641430,环境管理学
E1704740,综合英语IV
E1704980,综合日语I
E1705180,综合日语III
E1705280,综合日语IV
E1714420,走进语言世界
E1726360,中级法语精读II
E1726540,高级法语精读II
E1727480,初级法语精读II
E1727520,中级法语口语II
E1734720,英语基础写作I
E1734820,英语基础写作II
E1735020,英国文学经典阅读
E1735120,美国文学经典阅读
E1735220,科技文献阅读
E1735320,西方经典阅读与思辨
E1776420,学科方法论
E2700155,电路分析基础
E2700445,电磁场与波
E2700560,数字逻辑设计及应用
E2702940,信号与系统
E2704360,电子电路基础
E2704460,数字逻辑与微处理器系统设计（挑战性课程）
E3402235,半导体物理C
E3404840,微处理器系统结构与嵌入式系统设计
E3404920,高级语言程序设计
F0101140,通信原理
F0101220,信息论基础
F0101340,通信网理论基础
F0101925,软件技术基础
F0102030,通信原理与系统
F0108830,物联网技术
F0120020,软件工程
F0120320,信息安全
F0139820,网络安全
F0155735,数字信号处理
F0158915,数据库原理及应用
F0200830,材料物理化学
F0201030,电子器件基础
F0201720,微电子工艺
F0202130,电子工程数学方法
F0212125,材料分析基础
F0213020,电子设计自动化技术B
F0216920,物联网传感技术
F0217020,光电子技术
F0217140,电子材料与元器件
F0300125,电力电子技术
F0339830,化学电源基础
F0400340,通信原理
F0401610,机械工程导论
F0405415,电气工程概论
F0405525,工程力学
F0405530,工程力学
F0405630,机械技术基础
F0407430,管理学基础
F0415330,高电压技术
F0416010,电气工程概论
F0416120,柔性电力系统中的电力电子技术
F0500930,高频与射频电路
F0501030,微机原理与接口技术
F0502030,高级语言程序设计
F0511310,专业导论
F0600120,机械工程基础
F0600230,传感器原理及应用
F0600340,自动控制原理
F0600420,计算机软件基础
F0700620,测量学
F0703520,资源环境科学导论（双语）
F0800110,计算机导论
F0801135,电路分析与模拟电路
F0805620,汇编语言程序设计
F0815120,程序设计（C与C++）
F0815220,数据挖掘与大数据分析
F0816020,计算机系统与网络安全技术
F0900210,信息工程导论
F0900540,面向对象程序设计(C++)
F0901420,系统分析与设计
F0912840,电子电路基础
F0917645,电子电路基础
F0919830,嵌入式系统设计
F0920120,嵌入式系统导论
F0921920,嵌入式系统导论
F0930210,信息安全导论
F0945130,计算机图形学
F1000130,自动控制原理
F1000330,通信原理
F1000430,工程力学
F1103130,C语言
F1131240,C语言
F1152440,数学建模
F1201630,数值计算方法
F1201735,原子物理学
F1201940,半导体物理
F1202240,量子力学
F1202345,热力学与统计物理学
F1202420,电子信息科学与技术导论
F1208420,数值计算方法
F1210340,热力学与统计物理学
F1212530,光学
F1400430,数字信号处理
F1400530,数值计算与MatLab
F1400630,神经生物学
F1400830,生物信息学
F1403920,大脑的奥秘
F1405310,生物医学工程前沿
F1408820,移动通信与智能终端
F1408920,物联网与传感技术
F1410020,计算机网络与通信技术
F1500130,创新投融资管理
F1500730,会计学
F1501130,金融学基础
F1501315,技术与创业管理I
F1508840,创新管理
F1508930,组织行为学
F1512540,金融学基础
F1512810,技术与创业管理系列讲座
F1512920,金融学基础
F1513320,创新投融资管理
F1514540,金融学基础
F1600830,行政管理专业导论
F1600920,法学专业导论
F1601020,信息管理与信息系统专业导论
F1602030,公共事业管理
F1602130,非营利组织管理
F1602230,公司行政管理学
F1602320,公文写作与处理
F1604940,民法分论
F1605235,刑事诉讼法学
F1607830,信息网络技术原理与应用
F1607930,运作管理
F1608030,数据结构与算法应用
F1612920,大数据型组织
F1624930,数据库原理与应用
F1657730,城市土地利用与管理
F1678630,城市管理法学
F1678830,行政伦理学
F1682630,城市规划与设计
F1717920,希腊神话 圣经与西方文化
F1729020,语言学导论 I
F2701910,电子信息科学与技术导引（新生研讨课）
F3402030,通信原理
F3404020,通信原理
G0100120,微波技术与天线
G0101530,移动通信系统
G0101630,通信射频电路
G0101830,TCP/IP协议
G0101930,接入网技术
G0102030,局域网与城域网
G0102430,随机信号分析
G0103430,信息论与信息编码
G0103540,雷达原理与系统
G0103720,数字无线电系统基础
G0104620,计算机通信网
G0104920,信息安全技术
G0105040,电子信息对抗原理
G0106730,统计信号分析
G0109020,无线传感器网络
G0110330,通信原理与技术
G0110430,通信电路与系统
G0121115,射频识别技术与设计
G0144615,光纤通信
G0190825,传感原理与信息感知技术
G0200230,通信电路与系统
G0200635,电介质物理
G0200735,磁性物理
G0202740,天线原理与设计
G0202820,微波网络
G0203230,微波固态电路
G0203320,微波技术与天线
G0203520,电磁兼容原理与设计
G0203540,微电子器件
G0205030,模拟集成电路原理
G0205130,数字集成电路原理
G0205220,集成电路工艺
G0205320,电磁场数学方法
G0205620,微波集成电路
G0206120,自适应天线
G0206920,数理方程与特殊函数
G0211735,集成电路原理
G0212025,电子设计自动化技术A
G0212230,电介质物理
